Column1,code_2,Unnamed: 2,description_2,code_3,description_3,id,link,Category
0,C00,,Malignant neoplasm of lip,C00.0              ,Malignant neoplasm of external upper lip,3c67e325-5eef-5655-87ac-08cc0142b04f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.0,Lip Cancer
1,C00,,Malignant neoplasm of lip,C00.1,Malignant neoplasm of external lower lip,383c55de-4fa9-5c8a-af3d-db6d27755f44,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.1,Lip Cancer
2,C00,,Malignant neoplasm of lip,C00.2,"Malignant neoplasm of external lip, unspecified",ec23013b-b507-5d4e-9bfd-54502a1837c8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.2,Lip Cancer
3,C00,,Malignant neoplasm of lip,C00.3,"Malignant neoplasm of upper lip, inner aspect",f14f4a88-78f4-511a-9b96-2078c69ebb6f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.3,Lip Cancer
4,C00,,Malignant neoplasm of lip,C00.4,"Malignant neoplasm of lower lip, inner aspect",cb03f308-c881-58da-8af6-f214c6f710b7,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.4,Lip Cancer
5,C00,,Malignant neoplasm of lip,C00.5,"Malignant neoplasm of lip, unspecified, inner aspect",69f68f73-92c7-5c5b-8fbf-2bd2bb3015b8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.5,Lip Cancer
6,C00,,Malignant neoplasm of lip,C00.6,"Malignant neoplasm of commissure of lip, unspecified",1febfeb7-8ede-54f7-916d-8ab00385cf00,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.6,Lip Cancer
7,C00,,Malignant neoplasm of lip,C00.8,Malignant neoplasm of overlapping sites of lip,517a86a1-9428-5812-b5d4-714f31a6bea1,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.8,Lip Cancer
8,C00,,Malignant neoplasm of lip,C00.9,"Malignant neoplasm of lip, unspecified",4cae09c1-6bb3-5db8-8932-5f1d9929cfe2,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.9,Lip Cancer
9,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.0,Malignant neoplasm of dorsal surface of tongue,b74bdd58-d6ad-5d8e-840b-14bf29052288,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.0,Tongue Cancer
10,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.1,Malignant neoplasm of border of tongue,482c4d71-4996-5734-be38-9cc47d682b65,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.1,Tongue Cancer
11,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.2,Malignant neoplasm of ventral surface of tongue,1a6e7235-7a77-5cd5-935e-dc5272b4e2ff,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.2,Tongue Cancer
12,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.3,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",860fdaa1-cfa8-5a60-b2ae-7c8828939f35,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.3,Tongue Cancer
13,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.4,Malignant neoplasm of lingual tonsil,ff450439-081a-537c-9433-4d566e10e5f0,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.4,Tongue Cancer
145,C43,,Malignant melanoma of skin,C43.2,Malignant melanoma of ear and external auricular canal,6b121479-f6d5-53a2-b694-822e4fafda91,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C43-C44/C43-/C43.2,Melanoma
14,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.8,Malignant neoplasm of overlapping sites of tongue,3eba0edc-e54c-5a51-9617-173959315ce9,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.8,Tongue Cancer
15,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.9,"Malignant neoplasm of tongue, unspecified",71509ff9-5699-5d23-a259-2697e3da1f12,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.9,Tongue Cancer
16,C03,,Malignant neoplasm of gum,C03.0,Malignant neoplasm of upper gum,47b73633-1191-5657-96e7-3234ad0f234c,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C03-/C03.0,Gum Cancer
17,C03,,Malignant neoplasm of gum,C03.1,Malignant neoplasm of lower gum,a8ec46a8-7bda-5101-90ca-a6ababe541e5,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C03-/C03.1,Gum Cancer
18,C03,,Malignant neoplasm of gum,C03.9,"Malignant neoplasm of gum, unspecified",09230294-9209-5831-8737-f904bdf8ab04,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C03-/C03.9,Gum Cancer
19,C05,,Malignant neoplasm of palate,C05.0,Malignant neoplasm of hard palate,0c2bdc14-c7b6-5ae0-a9f2-ef2495cd2955,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C05-/C05.0,Palate Cancer
20,C05,,Malignant neoplasm of palate,C05.1,Malignant neoplasm of soft palate,8fbd378d-8274-521e-936e-9ecc01afb567,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C05-/C05.1,Palate Cancer
21,C05,,Malignant neoplasm of palate,C05.2,Malignant neoplasm of uvula,8d5e8adc-f908-5287-8495-3e6f8c85398d,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C05-/C05.2,Palate Cancer
