Column1,code_2,category,description_2,code_3,description_3,abbreviations,id,link
0,C00,Lip cancer,Malignant neoplasm of lip,C00.0              ,Malignant neoplasm of external upper lip,C00 | C00.0  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,3c67e325-5eef-5655-87ac-08cc0142b04f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.0
1,C00,Lip cancer,Malignant neoplasm of lip,C00.1,Malignant neoplasm of external lower lip,C00 | C00.1  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,383c55de-4fa9-5c8a-af3d-db6d27755f44,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.1
2,C00,Lip cancer,Malignant neoplasm of lip,C00.2,"Malignant neoplasm of external lip, unspecified",C00 | C00.2  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,ec23013b-b507-5d4e-9bfd-54502a1837c8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.2
3,C00,Lip cancer,Malignant neoplasm of lip,C00.3,"Malignant neoplasm of upper lip, inner aspect",C00 | C00.3  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,f14f4a88-78f4-511a-9b96-2078c69ebb6f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.3
4,C00,Lip cancer,Malignant neoplasm of lip,C00.4,"Malignant neoplasm of lower lip, inner aspect",C00 | C00.4  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,cb03f308-c881-58da-8af6-f214c6f710b7,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.4
5,C00,Lip cancer,Malignant neoplasm of lip,C00.5,"Malignant neoplasm of lip, unspecified, inner aspect",C00 | C00.5  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,69f68f73-92c7-5c5b-8fbf-2bd2bb3015b8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.5
6,C00,Lip cancer,Malignant neoplasm of lip,C00.6,"Malignant neoplasm of commissure of lip, unspecified",C00 | C00.6  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,1febfeb7-8ede-54f7-916d-8ab00385cf00,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.6
7,C00,Lip cancer,Malignant neoplasm of lip,C00.8,Malignant neoplasm of overlapping sites of lip,C00 | C00.8  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,517a86a1-9428-5812-b5d4-714f31a6bea1,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.8
8,C00,Lip cancer,Malignant neoplasm of lip,C00.9,"Malignant neoplasm of lip, unspecified",C00 | C00.9  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,4cae09c1-6bb3-5db8-8932-5f1d9929cfe2,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.9
9,C02,Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02.0,Malignant neoplasm of dorsal surface of tongue,C02 | C02.0 | Tongue Carcinoma| Tongue Malignancy | Glossal Cancer  | Tongue Cancer |,b74bdd58-d6ad-5d8e-840b-14bf29052288,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.0
10,C02,Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02.1,Malignant neoplasm of border of tongue,C02 | C02.1 | Tongue Carcinoma|  Tongue Malignancy | Glossal Cancer  | Tongue Cancer |,482c4d71-4996-5734-be38-9cc47d682b65,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.1
