Category,Description_2,Oncology Abbreviations,Final Abbreviations,Difference
Lip cancer,Malignant neoplasm of lip,C00 | C00.0 | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma,Lip Cancer | Lip Carcinoma | Lip Malignancy | Lip Squamous Cell Carcinoma | Lip SCC | Malignant Neoplasm of Lip | Oral Cancer | Actinic Cheilitis | Lower Lip Cancer | Lower Lip Carcinoma | Squamous Cell Carcinoma of Lip | Basal Cell Carcinoma of Lip | Keratoacanthoma of Lip | Actinic Keratosis of Lip | Malignant Tumors of Lip | Cheilocarcinoma | Malignant Lip Tumor | Upper Lip Cancer | Lip Malignant Neoplasm | Lip Neoplasm,C00 | C00.0 | malignancy of lip | lip's cancer | vermilion border cancer
Lip cancer,Malignant neoplasm of lip,C00 | C00.1 | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma,Lip Cancer | Lip Carcinoma | Lip Malignancy | Lip Squamous Cell Carcinoma | Lip SCC | Malignant Neoplasm of Lip | Oral Cancer | Actinic Cheilitis | Lower Lip Cancer | Lower Lip Carcinoma | Squamous Cell Carcinoma of Lip | Basal Cell Carcinoma of Lip | Keratoacanthoma of Lip | Actinic Keratosis of Lip | Malignant Tumors of Lip | Cheilocarcinoma | Malignant Lip Tumor | Upper Lip Cancer | Lip Malignant Neoplasm | Lip Neoplasm,C00 | C00.1 | malignancy of lip | lip's cancer | vermilion border cancer
Lip cancer,Malignant neoplasm of lip,C00 | C00.2 | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma,Lip Cancer | Lip Carcinoma | Lip Malignancy | Lip Squamous Cell Carcinoma | Lip SCC | Malignant Neoplasm of Lip | Oral Cancer | Actinic Cheilitis | Lower Lip Cancer | Lower Lip Carcinoma | Squamous Cell Carcinoma of Lip | Basal Cell Carcinoma of Lip | Keratoacanthoma of Lip | Actinic Keratosis of Lip | Malignant Tumors of Lip | Cheilocarcinoma | Malignant Lip Tumor | Upper Lip Cancer | Lip Malignant Neoplasm | Lip Neoplasm,C00 | C00.2 | malignancy of lip | lip's cancer | vermilion border cancer
Lip cancer,Malignant neoplasm of lip,C00 | C00.3 | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma,Lip Cancer | Lip Carcinoma | Lip Malignancy | Lip Squamous Cell Carcinoma | Lip SCC | Malignant Neoplasm of Lip | Oral Cancer | Actinic Cheilitis | Lower Lip Cancer | Lower Lip Carcinoma | Squamous Cell Carcinoma of Lip | Basal Cell Carcinoma of Lip | Keratoacanthoma of Lip | Actinic Keratosis of Lip | Malignant Tumors of Lip | Cheilocarcinoma | Malignant Lip Tumor | Upper Lip Cancer | Lip Malignant Neoplasm | Lip Neoplasm,C00 | C00.3 | malignancy of lip | lip's cancer | vermilion border cancer
Lip cancer,Malignant neoplasm of lip,C00 | C00.4 | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma,Lip Cancer | Lip Carcinoma | Lip Malignancy | Lip Squamous Cell Carcinoma | Lip SCC | Malignant Neoplasm of Lip | Oral Cancer | Actinic Cheilitis | Lower Lip Cancer | Lower Lip Carcinoma | Squamous Cell Carcinoma of Lip | Basal Cell Carcinoma of Lip | Keratoacanthoma of Lip | Actinic Keratosis of Lip | Malignant Tumors of Lip | Cheilocarcinoma | Malignant Lip Tumor | Upper Lip Cancer | Lip Malignant Neoplasm | Lip Neoplasm,C00 | C00.4 | malignancy of lip | lip's cancer | vermilion border cancer
Lip cancer,Malignant neoplasm of lip,C00 | C00.5 | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma,Lip Cancer | Lip Carcinoma | Lip Malignancy | Lip Squamous Cell Carcinoma | Lip SCC | Malignant Neoplasm of Lip | Oral Cancer | Actinic Cheilitis | Lower Lip Cancer | Lower Lip Carcinoma | Squamous Cell Carcinoma of Lip | Basal Cell Carcinoma of Lip | Keratoacanthoma of Lip | Actinic Keratosis of Lip | Malignant Tumors of Lip | Cheilocarcinoma | Malignant Lip Tumor | Upper Lip Cancer | Lip Malignant Neoplasm | Lip Neoplasm,C00 | C00.5 | malignancy of lip | lip's cancer | vermilion border cancer
Lip cancer,Malignant neoplasm of lip,C00 | C00.6 | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma,Lip Cancer | Lip Carcinoma | Lip Malignancy | Lip Squamous Cell Carcinoma | Lip SCC | Malignant Neoplasm of Lip | Oral Cancer | Actinic Cheilitis | Lower Lip Cancer | Lower Lip Carcinoma | Squamous Cell Carcinoma of Lip | Basal Cell Carcinoma of Lip | Keratoacanthoma of Lip | Actinic Keratosis of Lip | Malignant Tumors of Lip | Cheilocarcinoma | Malignant Lip Tumor | Upper Lip Cancer | Lip Malignant Neoplasm | Lip Neoplasm,C00 | C00.6 | malignancy of lip | lip's cancer | vermilion border cancer
Lip cancer,Malignant neoplasm of lip,C00 | C00.8 | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma,Lip Cancer | Lip Carcinoma | Lip Malignancy | Lip Squamous Cell Carcinoma | Lip SCC | Malignant Neoplasm of Lip | Oral Cancer | Actinic Cheilitis | Lower Lip Cancer | Lower Lip Carcinoma | Squamous Cell Carcinoma of Lip | Basal Cell Carcinoma of Lip | Keratoacanthoma of Lip | Actinic Keratosis of Lip | Malignant Tumors of Lip | Cheilocarcinoma | Malignant Lip Tumor | Upper Lip Cancer | Lip Malignant Neoplasm | Lip Neoplasm,C00 | C00.8 | malignancy of lip | lip's cancer | vermilion border cancer
Lip cancer,Malignant neoplasm of lip,C00 | C00.9 | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma,Lip Cancer | Lip Carcinoma | Lip Malignancy | Lip Squamous Cell Carcinoma | Lip SCC | Malignant Neoplasm of Lip | Oral Cancer | Actinic Cheilitis | Lower Lip Cancer | Lower Lip Carcinoma | Squamous Cell Carcinoma of Lip | Basal Cell Carcinoma of Lip | Keratoacanthoma of Lip | Actinic Keratosis of Lip | Malignant Tumors of Lip | Cheilocarcinoma | Malignant Lip Tumor | Upper Lip Cancer | Lip Malignant Neoplasm | Lip Neoplasm,C00 | C00.9 | malignancy of lip | lip's cancer | vermilion border cancer
Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02 | C02.0 | Tongue Carcinoma | Tongue Malignancy | Glossal Cancer | Tongue Cancer,Tongue Cancer | Tongue Carcinoma | Malignancy of Tongue | Glossal Cancer | Lingual Cancer | Malignant Neoplasm of Tongue | Malignant Neoplasm of Other and Unspecified Parts of Tongue | Oral Tongue Cancer | Carcinoma of Tongue | Squamous Cell Carcinoma of Tongue | Tongue Malignancy | Malignant Tumor of Tongue | Neoplasm of Tongue | Cancer of Lingual Tissue | Malignant Lesion of Tongue | Non-Specified Tongue Cancer | Tongue Neoplasm | Cancer of Other Parts of Tongue | Malignant Growth of Tongue | Unspecified Tongue Malignancy,C02 | C02.0
